file,video time (min),dist (cm),speed (cm/s),no. ClosedTop,ClosedTop_time (S),no. ClosedBottom,ClosedBottom_time (s),no. OpenLeft,OpenLeft_time (s),no. OpenRight,OpenRight_time (s),NeutralZone,NeutralZone (s)
epm_post_1_c9,1.994,134.53912018654825,1.124532933688969,5.0,30.040000000000013,3.0,10.880000000000003,5.0,38.2,2.0,12.159999999999997,12.0,27.759999999999987
epm_post_5_c9,1.994,136.34107254564015,1.1395943877101316,5.0,24.720000000000006,7.0,18.08,5.0,29.68000000000001,1.0,17.960000000000008,17.0,29.23999999999998
epm_post_9_c9,1.994,141.17964674439048,1.1800371677063732,4.0,43.31999999999999,2.0,5.960000000000001,1.0,34.919999999999995,2.0,1.240000000000009,8.0,34.24
