file,video time (min),dist (cm),speed (cm/s),no. peripheryLeft,peripheryLeft_time (S),no. peripheryRight,peripheryRight_time (s),no. peripheryTop,peripheryTop_time (s),no. peripheryBottom,peripheryBottom_time (s),no. Centre,Centre_time (s)
OFT_pre_WT_1,2.0073333333333334,313.2742904647693,2.601081787319573,5.0,38.419999999999995,11.0,45.06000000000002,5.0,10.539999999999992,4.0,7.720000000000002,10.0,17.980000000000004
OFT_pre_WT_2,2.007,308.6019349096216,2.562713294383172,8.0,44.25999999999999,7.0,35.33999999999999,8.0,15.240000000000013,7.0,15.78000000000002,10.0,9.539999999999983
OFT_pre_WT_5,2.0073333333333334,253.95649792518336,2.108572716084219,3.0,78.89999999999999,5.0,19.34,1.0,3.339999999999999,3.0,5.800000000000001,8.0,12.500000000000004
OFT_pre_WT_6,2.0073333333333334,299.8879186646504,2.489936222722106,5.0,24.92000000000001,8.0,59.79999999999999,11.0,12.820000000000006,6.0,14.079999999999997,12.0,8.339999999999998
OFT_pre_WT_8,1.996,207.83867413772003,1.735459870889446,7.0,53.47999999999998,4.0,50.68000000000001,2.0,1.3599999999999994,4.0,6.3399999999999945,3.0,7.56
