file,video time (min),dist (cm),speed (cm/s),no. ClosedTop,ClosedTop_time (S),no. ClosedBottom,ClosedBottom_time (s),no. OpenLeft,OpenLeft_time (s),no. OpenRight,OpenRight_time (s),NeutralZone,NeutralZone (s)
epm_post_2,1.994,112.94138273711766,0.9440102201363897,3.0,48.03999999999999,2.0,20.440000000000005,1.0,28.04,3.0,9.800000000000011,8.0,12.879999999999999
epm_post_3,1.9946666666666668,131.41771419527944,1.0980758204819472,3.0,31.080000000000002,4.0,28.28,2.0,21.639999999999997,2.0,23.479999999999997,11.0,15.160000000000004
epm_post_7,1.994,117.91190714088444,0.9855558938556037,3.0,24.839999999999996,4.0,8.639999999999986,2.0,34.400000000000006,3.0,20.639999999999993,12.0,30.480000000000018
epm_post_8,1.9946666666666668,111.2047544898276,0.9291841117131316,1.0,119.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.52
epm_post_10,1.994,128.1451276635347,1.0710893318583643,5.0,22.959999999999994,6.0,32.12000000000001,0.0,0.0,3.0,2.2800000000000082,11.0,61.959999999999994
