file,video time (min),dist (cm),speed (cm/s),no. peripheryLeft,peripheryLeft_time (S),no. peripheryRight,peripheryRight_time (s),no. peripheryTop,peripheryTop_time (s),no. peripheryBottom,peripheryBottom_time (s),no. Centre,Centre_time (s)
oft_pre_3_C9,2.0073333333333334,303.50754170887365,2.5199895525479383,9.0,57.50000000000001,6.0,30.160000000000004,8.0,13.520000000000017,7.0,10.380000000000003,9.0,8.759999999999984
oft_pre_4_C9,2.007,315.5569321696101,2.620469458309335,6.0,30.400000000000013,10.0,58.940000000000026,6.0,8.020000000000003,7.0,13.079999999999986,11.0,9.239999999999974
oft_pre_7_C9,2.0166666666666666,316.23793793990427,2.6135366771892916,11.0,71.46000000000001,5.0,19.64,6.0,9.300000000000013,8.0,7.540000000000007,9.0,12.539999999999974
