file,video time (min),dist (cm),speed (cm/s),no. peripheryLeft,peripheryLeft_time (S),no. peripheryRight,peripheryRight_time (s),no. peripheryTop,peripheryTop_time (s),no. peripheryBottom,peripheryBottom_time (s),no. Centre,Centre_time (s)
oft_post_1_C9,2.002666666666667,124.12781123841816,1.0330210655660632,12.0,61.55999999999998,10.0,39.31999999999999,7.0,3.6799999999999935,11.0,9.360000000000014,8.0,5.200000000000013
oft_post_4_C9,2.0126666666666666,143.22579782079706,1.1860367490957027,8.0,50.919999999999995,9.0,31.799999999999994,9.0,12.719999999999992,3.0,5.320000000000007,7.0,19.12000000000002
oft_post_6_C9,1.998,150.09604591817825,1.252052435086572,7.0,51.47999999999999,9.0,29.399999999999988,7.0,15.279999999999998,8.0,12.560000000000013,8.0,10.08000000000001
