file,video time (min),dist (cm),speed (cm/s),no. peripheryLeft,peripheryLeft_time (S),no. peripheryRight,peripheryRight_time (s),no. peripheryTop,peripheryTop_time (s),no. peripheryBottom,peripheryBottom_time (s),no. Centre,Centre_time (s)
oft_post_2,2.0033333333333334,140.96199464863463,1.1727287408372264,9.0,43.87999999999999,7.0,54.88,5.0,7.720000000000002,5.0,8.68,4.0,4.360000000000017
oft_post_3,2.0053333333333336,119.05764868141537,0.9895083833229337,7.0,53.56000000000001,5.0,42.67999999999999,7.0,10.120000000000003,4.0,8.200000000000006,8.0,5.719999999999988
oft_post_5,2.006666666666667,129.86277775307255,1.078594499610237,4.0,65.6,3.0,30.360000000000007,3.0,12.880000000000003,5.0,9.400000000000006,3.0,2.0799999999999983
oft_post_7,2.006666666666667,136.12603610820744,1.1306149178422544,2.0,33.4,3.0,46.99999999999999,2.0,4.320000000000007,2.0,24.119999999999997,5.0,11.480000000000008
oft_post_8,2.004,143.68530225338714,1.1949875436908444,5.0,58.24,7.0,38.95999999999998,3.0,1.759999999999998,6.0,12.879999999999985,5.0,7.279999999999996
